colname,durablename,static,pats,units_cd,mxinsts,nval_num,patvis_null,confidence_num,mxconmod,patvis,pats_null,colid,mod,quantity_num,ccd,name,cid,concept_path,rule,ddomain,mxfacts,valueflag_cd,tval_char,colcd,location_cd,valtype_cd
v005_Mlgnt_ptnts_cd,_Mlgnt_ptnts_cd,,1947,1,1,,298371,,5,17434,1035,v005_Mlgnt_ptnts,2,,4,"C64 - Malignant neoplasm of kidney, except renal pelvis[20,258 facts; 1,891 patients]",5,\i2b2\Epic Diagnosis\ICD10\A18924118\A20151411\A17863058\,UNKNOWN_DATA_ELEMENT,DX,5,,,v005,,
v005_Mlgnt_ptnts,_Mlgnt_ptnts,,1947,1,1,,298371,,5,17434,1035,v005_Mlgnt_ptnts,2,,4,"C64 - Malignant neoplasm of kidney, except renal pelvis[20,258 facts; 1,891 patients]",5,\i2b2\Epic Diagnosis\ICD10\A18924118\A20151411\A17863058\,UNKNOWN_DATA_ELEMENT,DX,5,,,v005,,
v006_Intstnl_infcts_cd,_Intstnl_infcts_cd,,77,1,2,,315639,,4,166,2905,v006_Intstnl_infcts,5,,15,"A00-A09 - Intestinal infectious diseases (A00-A09)[23,973 facts; 9,962 patients]",6,\i2b2\Diagnosis\ICD10\A18905737\A18910968\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v006,,
v006_Intstnl_infcts,_Intstnl_infcts,,77,1,2,,315639,,4,166,2905,v006_Intstnl_infcts,5,,15,"A00-A09 - Intestinal infectious diseases (A00-A09)[23,973 facts; 9,962 patients]",6,\i2b2\Diagnosis\ICD10\A18905737\A18910968\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v006,,
v007_bctrl_ptnts_cd,_bctrl_ptnts_cd,,128,1,3,,315490,,4,315,2854,v007_bctrl_ptnts,5,,29,"A30-A49 - Other bacterial diseases (A30-A49)[28,401 facts; 11,443 patients]",7,\i2b2\Diagnosis\ICD10\A18905737\A18924111\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v007,,
v007_bctrl_ptnts,_bctrl_ptnts,,128,1,3,,315490,,4,315,2854,v007_bctrl_ptnts,5,,29,"A30-A49 - Other bacterial diseases (A30-A49)[28,401 facts; 11,443 patients]",7,\i2b2\Diagnosis\ICD10\A18905737\A18924111\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v007,,
v008_infcts_ptnts_cd,_infcts_ptnts_cd,,86,1,3,,315589,,3,216,2896,v008_infcts_ptnts,5,,20,"B95-B97 - Bacterial and viral infectious agents (B95-B97)[25,066 facts; 15,334 patients]",8,\i2b2\Diagnosis\ICD10\A18905737\A18908307\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v008,,
v008_infcts_ptnts,_infcts_ptnts,,86,1,3,,315589,,3,216,2896,v008_infcts_ptnts,5,,20,"B95-B97 - Bacterial and viral infectious agents (B95-B97)[25,066 facts; 15,334 patients]",8,\i2b2\Diagnosis\ICD10\A18905737\A18908307\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v008,,
v010_prdmntl_trnsmsn_cd,_prdmntl_trnsmsn_cd,,35,1,2,,315552,,3,253,2947,v010_prdmntl_trnsmsn,5,,18,"A50-A64 - Infections with a predominantly sexual mode of transmission (A50-A64)[46,812 facts; 12,096 patients]",10,\i2b2\Diagnosis\ICD10\A18905737\A18924112\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v010,,
v010_prdmntl_trnsmsn,_prdmntl_trnsmsn,,35,1,2,,315552,,3,253,2947,v010_prdmntl_trnsmsn,5,,18,"A50-A64 - Infections with a predominantly sexual mode of transmission (A50-A64)[46,812 facts; 12,096 patients]",10,\i2b2\Diagnosis\ICD10\A18905737\A18924112\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v010,,
v011_sprchtl_ptnts_cd,_sprchtl_ptnts_cd,,1,1,1,,315804,,1,1,2981,v011_sprchtl_ptnts,1,,1,"A65-A69 - Other spirochetal diseases (A65-A69)[1,145 facts; 344 patients]",11,\i2b2\Diagnosis\ICD10\A18905737\A18910969\,UNKNOWN_DATA_ELEMENT,ICD10,1,,,v011,,
v011_sprchtl_ptnts,_sprchtl_ptnts,,1,1,1,,315804,,1,1,2981,v011_sprchtl_ptnts,1,,1,"A65-A69 - Other spirochetal diseases (A65-A69)[1,145 facts; 344 patients]",11,\i2b2\Diagnosis\ICD10\A18905737\A18910969\,UNKNOWN_DATA_ELEMENT,ICD10,1,,,v011,,
v012_infctns_chrctrzd_cd,_infctns_chrctrzd_cd,,248,1,3,,313076,,4,2729,2734,v012_infctns_chrctrzd,5,,21,"B00-B09 - Viral infections characterized by skin and mucous membrane lesions (B00-B09)[275,697 facts; 51,451 patients]",12,\i2b2\Diagnosis\ICD10\A18905737\A18910971\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v012,,
v012_infctns_chrctrzd,_infctns_chrctrzd,,248,1,3,,313076,,4,2729,2734,v012_infctns_chrctrzd,5,,21,"B00-B09 - Viral infections characterized by skin and mucous membrane lesions (B00-B09)[275,697 facts; 51,451 patients]",12,\i2b2\Diagnosis\ICD10\A18905737\A18910971\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v012,,
v013_dss_ptnts_cd,_dss_ptnts_cd,,40,1,2,,315689,,4,116,2942,v013_dss_ptnts,4,,9,"B25-B34 - Other viral diseases (B25-B34)[25,309 facts; 14,484 patients]",13,\i2b2\Diagnosis\ICD10\A18905737\A18916203\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v013,,
v013_dss_ptnts,_dss_ptnts,,40,1,2,,315689,,4,116,2942,v013_dss_ptnts,4,,9,"B25-B34 - Other viral diseases (B25-B34)[25,309 facts; 14,484 patients]",13,\i2b2\Diagnosis\ICD10\A18905737\A18916203\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v013,,
v014_B_B__ptnts_cd,_B_B__ptnts_cd,,279,1,3,,314895,,6,910,2703,v014_B_B__ptnts,5,,27,"B35-B49 - Mycoses (B35-B49)[130,779 facts; 47,416 patients]",14,\i2b2\Diagnosis\ICD10\A18905737\A18913609\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v014,,
v014_B_B__ptnts,_B_B__ptnts,,279,1,3,,314895,,6,910,2703,v014_B_B__ptnts,5,,27,"B35-B49 - Mycoses (B35-B49)[130,779 facts; 47,416 patients]",14,\i2b2\Diagnosis\ICD10\A18905737\A18913609\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v014,,
v015_Prtzl_ptnts_cd,_Prtzl_ptnts_cd,,1,1,1,,315798,,1,7,2981,v015_Prtzl_ptnts,1,,1,"B50-B64 - Protozoal diseases (B50-B64)[2,206 facts; 570 patients]",15,\i2b2\Diagnosis\ICD10\A18905737\A18908306\,UNKNOWN_DATA_ELEMENT,ICD10,1,,,v015,,
v015_Prtzl_ptnts,_Prtzl_ptnts,,1,1,1,,315798,,1,7,2981,v015_Prtzl_ptnts,1,,1,"B50-B64 - Protozoal diseases (B50-B64)[2,206 facts; 570 patients]",15,\i2b2\Diagnosis\ICD10\A18905737\A18908306\,UNKNOWN_DATA_ELEMENT,ICD10,1,,,v015,,
v016_Hlmnths_ptnts_cd,_Hlmnths_ptnts_cd,,1,1,1,,315804,,1,1,2981,v016_Hlmnths_ptnts,1,,1,"B65-B83 - Helminthiases (B65-B83)[1,744 facts; 1,008 patients]",16,\i2b2\Diagnosis\ICD10\A18905737\A18924116\,UNKNOWN_DATA_ELEMENT,ICD10,1,,,v016,,
v016_Hlmnths_ptnts,_Hlmnths_ptnts,,1,1,1,,315804,,1,1,2981,v016_Hlmnths_ptnts,1,,1,"B65-B83 - Helminthiases (B65-B83)[1,744 facts; 1,008 patients]",16,\i2b2\Diagnosis\ICD10\A18905737\A18924116\,UNKNOWN_DATA_ELEMENT,ICD10,1,,,v016,,
v018_Nplsms_ptnts_cd,_Nplsms_ptnts_cd,,2635,1,4,,263535,,13,52270,347,v018_Nplsms_ptnts,5,,629,"C00-D49 - Neoplasms (C00-D49)[1,778,306 facts; 109,054 patients]",18,\i2b2\Diagnosis\ICD10\A18924118\,UNKNOWN_DATA_ELEMENT,ICD10,13,,,v018,,
v018_Nplsms_ptnts_dx,_Nplsms_ptnts_dx,,2635,1,4,,263535,,13,52270,347,v018_Nplsms_ptnts,5,,629,"C00-D49 - Neoplasms (C00-D49)[1,778,306 facts; 109,054 patients]",18,\i2b2\Diagnosis\ICD10\A18924118\,UNKNOWN_DATA_ELEMENT,ICD10,13,,,v018,,
v018_Nplsms_ptnts,_Nplsms_ptnts,,2635,1,4,,263535,,13,52270,347,v018_Nplsms_ptnts,5,,629,"C00-D49 - Neoplasms (C00-D49)[1,778,306 facts; 109,054 patients]",18,\i2b2\Diagnosis\ICD10\A18924118\,UNKNOWN_DATA_ELEMENT,ICD10,13,,,v018,,
v019_bld_frmng_ptnts_cd,_bld_frmng_ptnts_cd,,792,1,4,,308388,,7,7417,2190,v019_bld_frmng_ptnts,5,,96,"D50-D89 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)[470,160 facts; 67,405 patients]",19,\i2b2\Diagnosis\ICD10\A18916265\,UNKNOWN_DATA_ELEMENT,ICD10,7,,,v019,,
v019_bld_frmng_ptnts,_bld_frmng_ptnts,,792,1,4,,308388,,7,7417,2190,v019_bld_frmng_ptnts,5,,96,"D50-D89 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)[470,160 facts; 67,405 patients]",19,\i2b2\Diagnosis\ICD10\A18916265\,UNKNOWN_DATA_ELEMENT,ICD10,7,,,v019,,
v020_Endcrn_ntrtnl_cd,_Endcrn_ntrtnl_cd,,1895,1,4,,276639,,14,39166,1087,v020_Endcrn_ntrtnl,5,,306,"E00-E89 - Endocrine, nutritional and metabolic diseases (E00-E89)[4,659,139 facts; 299,014 patients]",20,\i2b2\Diagnosis\ICD10\A18921516\,UNKNOWN_DATA_ELEMENT,ICD10,14,,,v020,,
v020_Endcrn_ntrtnl,_Endcrn_ntrtnl,,1895,1,4,,276639,,14,39166,1087,v020_Endcrn_ntrtnl,5,,306,"E00-E89 - Endocrine, nutritional and metabolic diseases (E00-E89)[4,659,139 facts; 299,014 patients]",20,\i2b2\Diagnosis\ICD10\A18921516\,UNKNOWN_DATA_ELEMENT,ICD10,14,,,v020,,
v021_phslgcl_cndtns_cd,_phslgcl_cndtns_cd,,69,1,2,,315395,,4,410,2913,v021_phslgcl_cndtns,5,,15,"F01-F09 - Mental disorders due to known physiological conditions (F01-F09)[60,837 facts; 11,946 patients]",21,\i2b2\Diagnosis\ICD10\A20160670\A18924177\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v021,,
v021_phslgcl_cndtns,_phslgcl_cndtns,,69,1,2,,315395,,4,410,2913,v021_phslgcl_cndtns,5,,15,"F01-F09 - Mental disorders due to known physiological conditions (F01-F09)[60,837 facts; 11,946 patients]",21,\i2b2\Diagnosis\ICD10\A20160670\A18924177\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v021,,
v022_bhvrl_pschctv_cd,_bhvrl_pschctv_cd,,400,1,3,,313912,,5,1893,2582,v022_bhvrl_pschctv,5,,54,"F10-F19 - Mental and behavioral disorders due to psychoactive substance use (F10-F19)[243,366 facts; 63,472 patients]",22,\i2b2\Diagnosis\ICD10\A20160670\A18921523\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v022,,
v022_bhvrl_pschctv,_bhvrl_pschctv,,400,1,3,,313912,,5,1893,2582,v022_bhvrl_pschctv,5,,54,"F10-F19 - Mental and behavioral disorders due to psychoactive substance use (F10-F19)[243,366 facts; 63,472 patients]",22,\i2b2\Diagnosis\ICD10\A20160670\A18921523\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v022,,
v023_Schzphrn_schztpl_cd,_Schzphrn_schztpl_cd,,36,1,1,,315646,,5,159,2946,v023_Schzphrn_schztpl,4,,8,"F20-F29 - Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders (F20-F29)[59,699 facts; 10,873 patients]",23,\i2b2\Diagnosis\ICD10\A20160670\A18916279\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v023,,
v023_Schzphrn_schztpl,_Schzphrn_schztpl,,36,1,1,,315646,,5,159,2946,v023_Schzphrn_schztpl,4,,8,"F20-F29 - Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders (F20-F29)[59,699 facts; 10,873 patients]",23,\i2b2\Diagnosis\ICD10\A20160670\A18916279\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v023,,
v024_afctv_ptnts_cd,_afctv_ptnts_cd,,517,1,3,,307889,,5,7916,2465,v024_afctv_ptnts,5,,39,"F30-F39 - Mood [affective] disorders (F30-F39)[847,477 facts; 93,315 patients]",24,\i2b2\Diagnosis\ICD10\A20160670\A18911035\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v024,,
v024_afctv_ptnts,_afctv_ptnts,,517,1,3,,307889,,5,7916,2465,v024_afctv_ptnts,5,,39,"F30-F39 - Mood [affective] disorders (F30-F39)[847,477 facts; 93,315 patients]",24,\i2b2\Diagnosis\ICD10\A20160670\A18911035\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v024,,
v025_strs_rltd_cd,_strs_rltd_cd,,490,1,4,,310725,,7,5080,2492,v025_strs_rltd,5,,35,"F40-F48 - Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders (F40-F48)[669,450 facts; 89,786 patients]",25,\i2b2\Diagnosis\ICD10\A20160670\A18913687\,UNKNOWN_DATA_ELEMENT,ICD10,7,,,v025,,
v025_strs_rltd,_strs_rltd,,490,1,4,,310725,,7,5080,2492,v025_strs_rltd,5,,35,"F40-F48 - Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders (F40-F48)[669,450 facts; 89,786 patients]",25,\i2b2\Diagnosis\ICD10\A20160670\A18913687\,UNKNOWN_DATA_ELEMENT,ICD10,7,,,v025,,
v026_phslgcl_dstrbncs_cd,_phslgcl_dstrbncs_cd,,44,1,2,,315646,,2,159,2938,v026_phslgcl_dstrbncs,5,,9,"F50-F59 - Behavioral syndromes associated with physiological disturbances and physical factors (F50-F59)[29,390 facts; 10,176 patients]",26,\i2b2\Diagnosis\ICD10\A20160670\A18913689\,UNKNOWN_DATA_ELEMENT,ICD10,2,,,v026,,
v026_phslgcl_dstrbncs,_phslgcl_dstrbncs,,44,1,2,,315646,,2,159,2938,v026_phslgcl_dstrbncs,5,,9,"F50-F59 - Behavioral syndromes associated with physiological disturbances and physical factors (F50-F59)[29,390 facts; 10,176 patients]",26,\i2b2\Diagnosis\ICD10\A20160670\A18913689\,UNKNOWN_DATA_ELEMENT,ICD10,2,,,v026,,
v027_G_G___ptnts_cd,_G_G___ptnts_cd,,1122,1,4,,301260,,11,14545,1860,v027_G_G___ptnts,5,,252,"G00-G99 - Diseases of the nervous system (G00-G99)[1,639,555 facts; 169,340 patients]",27,\i2b2\Diagnosis\ICD10\A18921535\,UNKNOWN_DATA_ELEMENT,ICD10,11,,,v027,,
v027_G_G___ptnts,_G_G___ptnts,,1122,1,4,,301260,,11,14545,1860,v027_G_G___ptnts,5,,252,"G00-G99 - Diseases of the nervous system (G00-G99)[1,639,555 facts; 169,340 patients]",27,\i2b2\Diagnosis\ICD10\A18921535\,UNKNOWN_DATA_ELEMENT,ICD10,11,,,v027,,
v028_Dsrdrs_ptnts_cd,_Dsrdrs_ptnts_cd,,206,1,2,,313553,,9,2252,2776,v028_Dsrdrs_ptnts,5,,122,"H30-H36 - Disorders of choroid and retina (H30-H36)[226,765 facts; 24,104 patients]",28,\i2b2\Diagnosis\ICD10\A18911062\A18921554\,UNKNOWN_DATA_ELEMENT,ICD10,9,,,v028,,
v028_Dsrdrs_ptnts,_Dsrdrs_ptnts,,206,1,2,,313553,,9,2252,2776,v028_Dsrdrs_ptnts,5,,122,"H30-H36 - Disorders of choroid and retina (H30-H36)[226,765 facts; 24,104 patients]",28,\i2b2\Diagnosis\ICD10\A18911062\A18921554\,UNKNOWN_DATA_ELEMENT,ICD10,9,,,v028,,
v029_Glcm_ptnts_cd,_Glcm_ptnts_cd,,214,1,2,,312364,,8,3441,2768,v029_Glcm_ptnts,5,,64,"H40-H42 - Glaucoma (H40-H42)[269,600 facts; 22,996 patients]",29,\i2b2\Diagnosis\ICD10\A18911062\A18905850\,UNKNOWN_DATA_ELEMENT,ICD10,8,,,v029,,
v029_Glcm_ptnts,_Glcm_ptnts,,214,1,2,,312364,,8,3441,2768,v029_Glcm_ptnts,5,,64,"H40-H42 - Glaucoma (H40-H42)[269,600 facts; 22,996 patients]",29,\i2b2\Diagnosis\ICD10\A18911062\A18905850\,UNKNOWN_DATA_ELEMENT,ICD10,8,,,v029,,
v030_dsrdrs_ptnts_cd,_dsrdrs_ptnts_cd,,220,1,3,,314027,,8,1778,2762,v030_dsrdrs_ptnts,5,,56,"H90-H94 - Other disorders of ear (H90-H94)[204,105 facts; 42,869 patients]",30,\i2b2\Diagnosis\ICD10\A18924211\A18908422\,UNKNOWN_DATA_ELEMENT,ICD10,8,,,v030,,
v030_dsrdrs_ptnts,_dsrdrs_ptnts,,220,1,3,,314027,,8,1778,2762,v030_dsrdrs_ptnts,5,,56,"H90-H94 - Other disorders of ear (H90-H94)[204,105 facts; 42,869 patients]",30,\i2b2\Diagnosis\ICD10\A18924211\A18908422\,UNKNOWN_DATA_ELEMENT,ICD10,8,,,v030,,
v031_crcltr_ptnts_cd,_crcltr_ptnts_cd,,2041,1,4,,270736,,17,45069,941,v031_crcltr_ptnts,5,,473,"I00-I99 - Diseases of the circulatory system (I00-I99)[3,975,805 facts; 232,200 patients]",31,\i2b2\Diagnosis\ICD10\A18916316\,UNKNOWN_DATA_ELEMENT,ICD10,17,,,v031,,
v031_crcltr_ptnts,_crcltr_ptnts,,2041,1,4,,270736,,17,45069,941,v031_crcltr_ptnts,5,,473,"I00-I99 - Diseases of the circulatory system (I00-I99)[3,975,805 facts; 232,200 patients]",31,\i2b2\Diagnosis\ICD10\A18916316\,UNKNOWN_DATA_ELEMENT,ICD10,17,,,v031,,
v032_pnmn_ptnts_cd,_pnmn_ptnts_cd,,179,1,2,,314967,,5,838,2803,v032_pnmn_ptnts,5,,22,"J09-J18 - Influenza and pneumonia (J09-J18)[75,495 facts; 25,202 patients]",32,\i2b2\Diagnosis\ICD10\A18916341\A18919020\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v032,,
v032_pnmn_ptnts,_pnmn_ptnts,,179,1,2,,314967,,5,838,2803,v032_pnmn_ptnts,5,,22,"J09-J18 - Influenza and pneumonia (J09-J18)[75,495 facts; 25,202 patients]",32,\i2b2\Diagnosis\ICD10\A18916341\A18919020\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v032,,
v033_rsprtr_ptnts_cd,_rsprtr_ptnts_cd,,449,1,2,,309241,,8,6564,2533,v033_rsprtr_ptnts,5,,25,"J40-J47 - Chronic lower respiratory diseases (J40-J47)[575,956 facts; 73,111 patients]",33,\i2b2\Diagnosis\ICD10\A18916341\A18916350\,UNKNOWN_DATA_ELEMENT,ICD10,8,,,v033,,
v033_rsprtr_ptnts,_rsprtr_ptnts,,449,1,2,,309241,,8,6564,2533,v033_rsprtr_ptnts,5,,25,"J40-J47 - Chronic lower respiratory diseases (J40-J47)[575,956 facts; 73,111 patients]",33,\i2b2\Diagnosis\ICD10\A18916341\A18916350\,UNKNOWN_DATA_ELEMENT,ICD10,8,,,v033,,
v034_extrnl_ptnts_cd,_extrnl_ptnts_cd,,17,1,1,,315779,,2,26,2965,v034_extrnl_ptnts,3,,6,"J60-J70 - Lung diseases due to external agents (J60-J70)[4,703 facts; 2,070 patients]",34,\i2b2\Diagnosis\ICD10\A18916341\A18913762\,UNKNOWN_DATA_ELEMENT,ICD10,2,,,v034,,
v034_extrnl_ptnts,_extrnl_ptnts,,17,1,1,,315779,,2,26,2965,v034_extrnl_ptnts,3,,6,"J60-J70 - Lung diseases due to external agents (J60-J70)[4,703 facts; 2,070 patients]",34,\i2b2\Diagnosis\ICD10\A18916341\A18913762\,UNKNOWN_DATA_ELEMENT,ICD10,2,,,v034,,
v035_prncpl_intrstm_cd,_prncpl_intrstm_cd,,90,1,2,,315306,,5,499,2892,v035_prncpl_intrstm,5,,12,"J80-J84 - Other respiratory diseases principally affecting the interstitium (J80-J84)[36,533 facts; 5,210 patients]",35,\i2b2\Diagnosis\ICD10\A18916341\A18919034\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v035,,
v035_prncpl_intrstm,_prncpl_intrstm,,90,1,2,,315306,,5,499,2892,v035_prncpl_intrstm,5,,12,"J80-J84 - Other respiratory diseases principally affecting the interstitium (J80-J84)[36,533 facts; 5,210 patients]",35,\i2b2\Diagnosis\ICD10\A18916341\A18919034\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v035,,
v036_Sprtv_rsprtr_cd,_Sprtv_rsprtr_cd,,7,1,2,,315761,,4,44,2975,v036_Sprtv_rsprtr,3,,4,"J85-J86 - Suppurative and necrotic conditions of the lower respiratory tract (J85-J86)[2,122 facts; 697 patients]",36,\i2b2\Diagnosis\ICD10\A18916341\A18913763\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v036,,
v036_Sprtv_rsprtr,_Sprtv_rsprtr,,7,1,2,,315761,,4,44,2975,v036_Sprtv_rsprtr,3,,4,"J85-J86 - Suppurative and necrotic conditions of the lower respiratory tract (J85-J86)[2,122 facts; 697 patients]",36,\i2b2\Diagnosis\ICD10\A18916341\A18913763\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v036,,
v037_rsprtr_ptnts_cd,_rsprtr_ptnts_cd,,452,1,3,,314293,,5,1512,2530,v037_rsprtr_ptnts,5,,23,"J96-J99 - Other diseases of the respiratory system (J96-J99)[71,402 facts; 24,202 patients]",37,\i2b2\Diagnosis\ICD10\A18916341\A18924251\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v037,,
v037_rsprtr_ptnts,_rsprtr_ptnts,,452,1,3,,314293,,5,1512,2530,v037_rsprtr_ptnts,5,,23,"J96-J99 - Other diseases of the respiratory system (J96-J99)[71,402 facts; 24,202 patients]",37,\i2b2\Diagnosis\ICD10\A18916341\A18924251\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v037,,
v038_esphgs_ptnts_cd,_esphgs_ptnts_cd,,684,1,4,,307271,,7,8534,2298,v038_esphgs_ptnts,5,,51,"K20-K31 - Diseases of esophagus, stomach and duodenum (K20-K31)[653,982 facts; 84,922 patients]",38,\i2b2\Diagnosis\ICD10\A20161433\A18916357\,UNKNOWN_DATA_ELEMENT,ICD10,7,,,v038,,
